descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Floodway,200.000000000000000,1438.80626,0.018474971334203,0.000001456972179
Floodway,200.000000000000000,24.70976,0.000289859560698,0.000000004512762
Flood Fringe,100.000000000000000,11779.07837,0.130954229324980,0.000079547206320
Floodway,200.000000000000000,341.805,0.004250209940806,0.000000689970722
Flood Fringe,100.000000000000000,null,0.001248174363109,0.000000019831602
Floodway,200.000000000000000,143.25951,0.001740852626094,0.000000059206372
Flood Fringe,100.000000000000000,null,0.005980258349049,0.000001564704428
Flood Fringe,100.000000000000000,null,0.000287572263275,0.000000001810137
Flood Fringe,100.000000000000000,null,0.011804600240240,0.000000842500791
Floodway,200.000000000000000,1002.43572,0.011708503050823,0.000005069576690
Floodway,200.000000000000000,167.68571,0.002142141777555,0.000000109182778
Normal River Channel,500.000000000000000,40826.87512,0.482209383268786,0.000027779573682
Floodway,200.000000000000000,3354.8489,0.045745624617172,0.000002607668495
Flood Fringe,100.000000000000000,18.30153,0.000255093108054,0.000000000428940
Flood Fringe,100.000000000000000,null,0.006357751474176,0.000001674870392
Floodway,200.000000000000000,22.84711,0.000292879236350,0.000000000812428
Normal River Channel,500.000000000000000,303.70201,0.003539548903849,0.000000568551347
