descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Floodway,200.000000000000000,5163.91517,0.059557018638811,0.000052024137477
Flood Fringe,100.000000000000000,null,0.007911109843904,0.000000659384550
Flood Fringe,100.000000000000000,null,0.001552841505812,0.000000044199344
Floodway,200.000000000000000,57.1468,0.000591806157473,0.000000016368373
Floodway,200.000000000000000,126.07879,0.001661000809688,0.000000016976203
Flood Fringe,100.000000000000000,1782.04296,0.019703868202822,0.000023083687635
Floodway,200.000000000000000,177.2462,0.002414979009826,0.000000072401679
Floodway,200.000000000000000,1847.05464,0.025493608252681,0.000003811130834
Flood Fringe,100.000000000000000,null,0.010080756936062,0.000002716983903
Flood Fringe,100.000000000000000,null,0.000491171367145,0.000000004107042
Flood Fringe,100.000000000000000,null,0.000237670635321,0.000000001083917
Flood Fringe,100.000000000000000,null,0.006600979215525,0.000000579856129
Flood Fringe,100.000000000000000,null,0.001102962155153,0.000000047746560
Flood Fringe,100.000000000000000,33.60345,0.000411073254367,0.000000001946380
Flood Fringe,100.000000000000000,null,0.005421636428715,0.000000854301739
Normal River Channel,500.000000000000000,35.67761,0.000498858663246,0.000000000564947
Flood Fringe,100.000000000000000,null,0.001761859074230,0.000000078598925
Floodway,200.000000000000000,333.93091,0.004336279950562,0.000000032639909
Flood Fringe,100.000000000000000,2056.46901,0.025467513038096,0.000011678454587
Floodway,200.000000000000000,2653.36694,0.030530798932432,0.000010207208856
Flood Fringe,100.000000000000000,453.32171,0.006264101401828,0.000000331829342
Flood Fringe,100.000000000000000,1587.05401,0.021511082386705,0.000002470481951
Flood Fringe,100.000000000000000,null,0.002363279669410,0.000000120714926
Floodway,200.000000000000000,2881.02249,0.038043784755553,0.000005559153902
Flood Fringe,100.000000000000000,null,0.003333170560745,0.000000133362837
Flood Fringe,100.000000000000000,null,0.000447669856629,0.000000000943823
Normal River Channel,500.000000000000000,330.74124,0.003874384059968,0.000000715240782
Flood Fringe,100.000000000000000,null,0.005566866367155,0.000000079062726
Floodway,200.000000000000000,223.41625,0.002715676708448,0.000000238904829
Flood Fringe,100.000000000000000,50.65479,0.000591094819722,0.000000010693811
Normal River Channel,500.000000000000000,64.0954,0.000653738654672,0.000000008848764
Floodway,200.000000000000000,493.26399,0.006798382543348,0.000000793773851
Normal River Channel,500.000000000000000,182.9655,0.001819879743163,0.000000002922532
Floodway,200.000000000000000,146.82762,0.001995754670546,0.000000072269267
Flood Fringe,100.000000000000000,null,0.001290030444738,0.000000043498137
Normal River Channel,500.000000000000000,554.05832,0.006226884428245,0.000000008866248
Flood Fringe,100.000000000000000,null,0.010130943418411,0.000002231800565
Flood Fringe,100.000000000000000,null,0.003693490902646,0.000000517589985
Floodway,200.000000000000000,161.85821,0.001805665784323,0.000000200289211
Normal River Channel,500.000000000000000,18.29418,0.000238217053346,0.000000002164333
Floodway,200.000000000000000,41.90535,0.000498048851029,0.000000009149023
Flood Fringe,100.000000000000000,null,0.001599933212309,0.000000022330557
Flood Fringe,100.000000000000000,null,0.006746054711869,0.000000430586214
Floodway,200.000000000000000,139.30927,0.001897069447529,0.000000078697705
Flood Fringe,100.000000000000000,null,0.000481630913926,0.000000007951864
Floodway,200.000000000000000,53.71952,0.000649953087179,0.000000009262550
Flood Fringe,100.000000000000000,1071.02102,0.012440341712560,0.000003279215512
Floodway,200.000000000000000,100.48828,0.001224988124239,0.000000066328518
Floodway,200.000000000000000,25.68083,0.000337225599041,0.000000004451030
Flood Fringe,100.000000000000000,385.30568,0.004213872427854,0.000001088749889
Floodway,200.000000000000000,2711.6794,0.037493946501435,0.000001691344513
Flood Fringe,100.000000000000000,1917.41004,0.024360767190120,0.000003595374392
Flood Fringe,100.000000000000000,10.78674,0.000116104117739,0.000000000808496
Flood Fringe,100.000000000000000,52.0168,0.000740018211577,0.000000000529911
Flood Fringe,100.000000000000000,null,0.000550259747465,0.000000013276593
Flood Fringe,100.000000000000000,3073.67236,0.032541180752309,0.000006030982053
Flood Fringe,100.000000000000000,null,0.000608845701995,0.000000015516270
Flood Fringe,100.000000000000000,null,0.004580638643361,0.000000597588744
Floodway,200.000000000000000,530.84828,0.007356618865128,0.000000429291573
Floodway,200.000000000000000,47008.08898,0.502221665167439,0.000240677514997
Floodway,200.000000000000000,20.63413,0.000232485417742,0.000000002838930
Flood Fringe,100.000000000000000,null,0.000611626704967,0.000000020084156
Floodway,200.000000000000000,99.7451,0.001262786015983,0.000000065826466
Flood Fringe,100.000000000000000,886.92647,0.011403691351467,0.000001354649562
Flood Fringe,100.000000000000000,710.21128,0.008331686010786,0.000003380151899
Normal River Channel,500.000000000000000,45.94007,0.000631381046060,0.000000005664259
Floodway,200.000000000000000,85.2624,0.000913348525981,0.000000030309920
Flood Fringe,100.000000000000000,null,0.000830896570653,0.000000017704837
Flood Fringe,100.000000000000000,23.09117,0.000263900637746,0.000000000437907
Floodway,200.000000000000000,65.35,0.000879806445413,0.000000019356670
Floodway,200.000000000000000,22.61759,0.000317372676217,0.000000000774579
Flood Fringe,100.000000000000000,null,0.010786269393638,0.000001813435999
Normal River Channel,500.000000000000000,17153.87398,0.023725164955227,0.000000032738479
Floodway,200.000000000000000,152.11382,0.001888277100921,0.000000059853235
Flood Fringe,100.000000000000000,null,0.012076882931703,0.000003005537213
Flood Fringe,100.000000000000000,79.98604,0.000870764342305,0.000000019398918
Flood Fringe,100.000000000000000,null,0.000285785908167,0.000000002912977
Floodway,200.000000000000000,34264.56094,0.410880891911251,0.000052559001721
Floodway,200.000000000000000,1385.71755,0.017612854853514,0.000002900149035
Floodway,200.000000000000000,123.67744,0.001332550784724,0.000000066327571
Flood Fringe,100.000000000000000,null,0.110066063211632,0.000010903665254
Flood Fringe,100.000000000000000,null,0.005418441355196,0.000000932050496
Floodway,200.000000000000000,40.24762,0.000556306027292,0.000000006900886
Flood Fringe,100.000000000000000,null,0.000194682470006,0.000000001851575
