FID_Impervious_DissolveAll_Clip,Imp_Area_m2,FID_LandUse_Boundary_Impervious_by_LandUse,LandUse_Boundary_LU_Simple,LandUse_Boundary_LU_Area_m2,LandUse_Boundary_Perc_Impervious,Impervious_by_LandUse_OBJECTID,Impervious_by_LandUse_LU_Simple,Impervious_by_LandUse_AREA,Impervious_by_LandUse_PERCENTAGE,Shape_Length,Shape_Area
1,14647314.386162107810378,2,Commercial / Mixed Use,22473279.825853448361158,65.176576359413801,2,Commercial / Mixed Use,0.001876981038450,65.167174353417252,21.114312250642293,0.001876979150433
1,39563688.826287299394608,3,Industrial,62443023.331499755382538,63.359662481827918,3,Industrial,0.005068666010759,63.346842170010795,31.956021274441689,0.005068665405817
1,40978078.581126086413860,4,Institutional,299185333.624769330024719,13.696553265047328,4,Institutional,0.005252819817022,13.702001328351040,98.532389815410056,0.005252818219786
1,32245691.137309044599533,5,Other,86061631.463183492422104,37.468138343512003,5,Other,0.004132186467899,37.461236296650483,65.747779660948737,0.004132183742199
1,1202879.971730212913826,6,Parks / Open Space,33026249.387978646904230,3.642193691446095,6,Parks / Open Space,0.000154201937480,3.644212066080484,7.108949302588358,0.000154201623224
1,13407719.325477791950107,7,Residential – High Density,24180698.575409103184938,55.448023073712839,7,Residential – High Density,0.001718415237835,55.449035607673721,38.632101848595994,0.001718413518519
1,118568182.692611888051033,8,Residential – Low/Medium Density,250090391.077635556459427,47.410131265620983,8,Residential – Low/Medium Density,0.015195301852839,47.413424021978848,410.032869064091926,0.015195299239516
1,6930728.336697071790695,9,Transportation / Utility,46303071.389896236360073,14.968182733142454,9,Transportation / Utility,0.000888394005911,14.967745704064736,12.251337908080096,0.000888394004802
1,116443.867942127748393,1,Agricultural and Natural Resources,951686.038242209237069,12.235533911709247,1,Agricultural and Natural Resources,0.000014963613190,12.241759866933045,0.173128456400020,0.000014963613207
